;Winner;Turns;Win_rate
263;AI;68;0.48863636363636365
264;Random;74;0.4867924528301887
265;Random;35;0.4849624060150376
266;Random;24;0.48314606741573035
267;AI;18;0.48507462686567165
268;AI;31;0.48698884758364314
269;AI;16;0.4888888888888889
270;Random;28;0.4870848708487085
271;Random;21;0.4852941176470588
272;AI;71;0.48717948717948717
273;Random;27;0.4854014598540146
274;Random;16;0.48363636363636364
275;Random;13;0.48188405797101447
276;Random;26;0.48014440433212996
277;Random;45;0.4784172661870504
278;Random;110;0.4767025089605735
279;AI;16;0.4785714285714286
280;Random;14;0.47686832740213525
281;Random;23;0.475177304964539
282;AI;91;0.47703180212014135
283;Random;17;0.4753521126760563
284;AI;47;0.47719298245614034
285;Random;47;0.4755244755244755
286;Random;20;0.4738675958188153
287;AI;22;0.4756944444444444
288;AI;31;0.47750865051903113
289;AI;50;0.4793103448275862
290;Random;36;0.47766323024054985
291;AI;30;0.4794520547945205
292;AI;21;0.4812286689419795
293;AI;14;0.48299319727891155
294;AI;75;0.4847457627118644
295;AI;70;0.4864864864864865
296;Random;18;0.48484848484848486
297;Random;27;0.48322147651006714
298;Random;16;0.4816053511705686
299;AI;14;0.48333333333333334
300;AI;35;0.4850498338870432
301;AI;20;0.4867549668874172
302;AI;13;0.4884488448844885
303;Random;97;0.4868421052631579
304;Random;38;0.4852459016393443
305;Random;13;0.48366013071895425
306;AI;41;0.48534201954397393
307;AI;36;0.487012987012987
308;Random;14;0.4854368932038835
309;Random;49;0.4838709677419355
310;Random;38;0.48231511254019294
311;Random;15;0.4807692307692308
312;AI;51;0.48242811501597443
313;Random;45;0.48089171974522293
314;AI;33;0.48253968253968255
315;Random;73;0.4810126582278481
316;Random;14;0.4794952681388013
317;AI;104;0.4811320754716981
318;AI;35;0.4827586206896552
319;AI;20;0.484375
320;AI;9;0.48598130841121495
321;Random;37;0.484472049689441
322;AI;25;0.48606811145510836
323;AI;70;0.4876543209876543
324;Random;50;0.48615384615384616
325;AI;48;0.48773006134969327
326;AI;33;0.4892966360856269
327;AI;16;0.49085365853658536
328;AI;15;0.49240121580547114
329;AI;60;0.49393939393939396
330;AI;29;0.4954682779456193
331;AI;14;0.49698795180722893
332;Random;40;0.4954954954954955
333;Random;39;0.4940119760479042
334;AI;17;0.4955223880597015
335;AI;28;0.49702380952380953
336;Random;68;0.49554896142433236
337;AI;38;0.4970414201183432
338;Random;18;0.49557522123893805
339;AI;14;0.4970588235294118
340;AI;75;0.49853372434017595
341;Random;63;0.49707602339181284
342;Random;16;0.4956268221574344
343;Random;21;0.4941860465116279
344;AI;107;0.4956521739130435
345;AI;44;0.49710982658959535
346;AI;67;0.49855907780979825
347;Random;21;0.49712643678160917
