;0
760;1364
761;1366
762;1367
763;1369
764;1373
765;1375
766;1383
767;1387
768;1388
769;1390
770;1391
771;1394
772;1396
773;1399
774;1401
775;1401
776;1405
777;1407
778;1415
779;1416
780;1418
781;1419
782;1420
783;1421
784;1422
785;1423
786;1424
787;1425
788;1426
789;1426
790;1433
791;1442
792;1448
793;1451
794;1452
795;1453
796;1457
797;1459
798;1460
799;1461
800;1465
801;1467
802;1469
803;1470
804;1471
805;1473
806;1475
807;1476
808;1478
809;1479
810;1479
811;1483
812;1484
813;1487
814;1497
815;1498
816;1502
817;1504
818;1506
819;1509
820;1510
821;1511
822;1515
823;1517
824;1520
825;1524
826;1526
827;1528
828;1533
829;1537
830;1538
831;1539
832;1541
833;1543
834;1547
835;1549
836;1552
837;1553
838;1555
839;1557
840;1558
841;1559
842;1561
843;1564
844;1565
845;1566
846;1569
847;1570
848;1571
849;1572
850;1578
851;1582
852;1585
853;1589
854;1591
855;1591
856;1592
857;1594
858;1598
859;1600
860;1603
861;1608
862;1608
863;1610
864;1612
865;1617
866;1620
867;1623
868;1626
869;1628
870;1630
871;1634
872;1637
873;1638
874;1640
875;1641
876;1648
877;1650
878;1655
879;1657
880;1658
881;1660
882;1664
883;1672
884;1675
885;1675
886;1676
887;1677
888;1678
889;1682
890;1685
891;1688
892;1693
893;1694
894;1696
895;1698
896;1699
897;1701
898;1707
899;1710
900;1712
901;1713
902;1715
903;1719
904;1721
905;1724
906;1727
907;1729
908;1732
909;1733
910;1736
911;1740
912;1743
913;1744
914;1747
915;1748
916;1750
917;1753
918;1757
919;1758
920;1761
921;1762
922;1766
923;1770
924;1774
925;1779
926;1782
927;1783
928;1785
929;1788
930;1790
931;1791
932;1793
933;1797
934;1799
935;1802
936;1805
937;1807
938;1810
939;1814
940;1821
941;1825
942;1827
943;1830
944;1831
945;1832
946;1833
947;1836
948;1837
949;1839
950;1844
951;1846
952;1848
953;1849
954;1851
955;1852
956;1853
957;1855
958;1855
959;1857
960;1857
961;1858
962;1860
963;1867
964;1869
965;1877
966;1882
967;1883
968;1885
969;1890
970;1893
971;1895
972;1896
973;1897
974;1900
975;1903
976;1906
977;1908
978;1912
979;1915
980;1916
981;1917
982;1919
983;1920
984;1926
985;1927
986;1931
987;1934
988;1934
989;1940
990;1945
991;1948
992;1953
993;1954
994;1959
995;1961
996;1963
997;1964
998;1969
999;1972
1000;1974
1001;1975
1002;1978
1003;1978
1004;1981
1005;1986
