;0
0;15
1;21
2;21
3;44
4;50
5;50
6;65
7;65
8;65
9;79
10;79
11;79
12;86
13;91
14;102
15;102
16;107
17;132
18;141
19;141
20;141
21;166
22;166
23;166
24;204
25;225
26;235
27;235
28;235
29;235
30;235
31;249
32;249
33;255
34;255
35;255
36;255
37;255
38;255
39;255
40;267
41;279
42;279
43;279
44;279
45;279
46;294
47;299
48;307
49;323
50;323
51;323
52;343
53;349
54;349
55;368
56;379
57;379
58;396
59;396
60;407
61;430
62;436
63;444
64;444
65;444
66;460
67;460
68;460
69;487
70;497
71;502
72;502
73;502
74;502
75;518
76;518
77;528
78;528
79;528
80;534
81;534
82;539
83;539
84;539
85;539
86;539
87;555
88;555
89;555
90;555
91;555
92;569
93;577
94;584
95;602
96;602
97;602
98;602
99;602
100;602
101;602
102;602
103;607
104;607
105;623
106;635
107;649
108;653
109;675
110;698
111;698
112;698
113;708
114;708
115;708
116;714
117;714
118;714
119;730
120;737
121;737
122;737
123;753
124;753
125;772
126;772
127;772
128;772
129;772
130;772
131;802
132;802
133;814
134;829
135;851
136;860
137;868
138;874
139;903
140;903
141;903
142;903
143;903
144;914
145;937
146;937
147;950
148;950
149;958
150;958
151;958
152;971
153;980
154;986
155;986
156;986
157;995
158;995
159;1006
160;1006
161;1006
162;1006
163;1011
164;1021
165;1021
166;1031
167;1031
168;1031
169;1031
170;1031
171;1042
172;1042
173;1051
174;1051
175;1051
176;1072
177;1081
178;1081
179;1081
180;1081
181;1089
182;1098
183;1098
184;1098
185;1098
186;1109
187;1121
188;1123
189;1123
190;1135
191;1139
192;1146
193;1153
194;1169
195;1184
196;1194
197;1201
198;1201
199;1201
200;1201
201;1207
202;1226
203;1226
204;1253
205;1262
206;1265
207;1269
208;1269
209;1278
210;1284
211;1284
212;1284
213;1291
214;1291
215;1291
216;1291
217;1291
218;1314
219;1314
220;1314
221;1320
222;1327
223;1332
224;1332
225;1345
226;1345
227;1348
228;1348
229;1348
230;1348
231;1348
232;1358
233;1358
234;1367
235;1373
236;1378
237;1378
238;1378
239;1378
240;1385
241;1385
242;1385
243;1388
244;1404
245;1407
246;1407
247;1412
248;1412
249;1412
250;1434
251;1439
252;1444
253;1444
254;1444
255;1444
256;1449
257;1449
258;1468
259;1468
260;1478
261;1487
262;1499
263;1509
264;1509
265;1509
266;1509
267;1514
268;1523
269;1525
270;1525
271;1525
272;1540
273;1540
274;1540
275;1540
276;1540
277;1540
278;1540
279;1544
280;1544
281;1544
282;1575
283;1575
284;1587
285;1587
286;1587
287;1592
288;1603
289;1615
290;1615
291;1623
292;1625
293;1629
294;1640
295;1663
296;1663
297;1663
298;1663
299;1666
300;1669
301;1675
302;1680
303;1680
304;1680
305;1680
306;1690
307;1701
308;1701
309;1701
310;1701
311;1701
312;1713
313;1713
314;1720
315;1720
316;1720
317;1742
318;1749
319;1753
320;1753
321;1753
322;1759
323;1773
324;1773
325;1780
326;1794
327;1796
328;1801
329;1815
330;1823
331;1825
332;1825
333;1825
334;1829
335;1836
336;1836
337;1843
338;1843
339;1848
340;1865
341;1865
342;1865
343;1865
344;1896
345;1906
346;1917
347;1917
348;1923
349;1923
350;1933
351;1936
352;1949
353;1966
354;1977
355;1977
356;1984
357;1984
358;1984
359;1984
360;1987
361;1987
362;1992
363;2002
364;2010
365;2013
366;2013
367;2013
368;2013
369;2013
370;2013
371;2025
372;2034
373;2034
374;2034
375;2034
376;2034
377;2034
378;2034
379;2038
380;2044
381;2058
382;2061
383;2061
384;2067
385;2079
386;2082
387;2089
388;2089
389;2089
390;2095
391;2101
392;2110
393;2113
394;2125
395;2139
396;2143
397;2153
398;2160
399;2164
400;2171
401;2171
402;2175
403;2179
404;2198
405;2204
406;2204
407;2216
408;2216
409;2216
410;2216
411;2221
412;2221
413;2221
414;2221
415;2234
416;2234
417;2239
418;2239
419;2243
420;2243
421;2258
422;2258
423;2264
424;2264
425;2272
426;2283
427;2283
428;2287
429;2292
430;2293
431;2304
432;2309
433;2309
434;2309
435;2309
436;2315
437;2315
438;2315
439;2315
440;2324
441;2328
442;2328
443;2328
444;2338
445;2350
446;2360
447;2360
448;2360
449;2381
450;2386
451;2386
452;2386
453;2386
454;2386
455;2386
456;2386
457;2393
458;2393
459;2397
460;2403
461;2403
462;2408
463;2419
464;2427
465;2448
466;2448
467;2462
468;2462
