;Winner;Turns;Win_rate
293;AI;70;0.5068027210884354
294;Random;30;0.5050847457627119
295;Random;19;0.5033783783783784
296;Random;26;0.5016835016835017
297;AI;12;0.5033557046979866
298;AI;21;0.5050167224080268
299;Random;57;0.5033333333333333
300;Random;78;0.5016611295681063
301;AI;20;0.5033112582781457
302;AI;33;0.504950495049505
303;Random;75;0.5032894736842105
304;Random;22;0.5016393442622951
305;Random;45;0.5
306;Random;24;0.498371335504886
307;Random;27;0.4967532467532468
308;AI;91;0.49838187702265374
309;Random;49;0.4967741935483871
310;Random;26;0.49517684887459806
311;Random;51;0.4935897435897436
312;Random;32;0.49201277955271566
313;Random;43;0.49044585987261147
314;Random;34;0.4888888888888889
315;AI;44;0.49050632911392406
316;AI;15;0.4921135646687697
317;AI;38;0.4937106918238994
318;Random;30;0.49216300940438873
319;AI;44;0.49375
320;AI;27;0.4953271028037383
321;AI;44;0.4968944099378882
322;Random;12;0.4953560371517028
323;Random;13;0.49382716049382713
324;AI;45;0.49538461538461537
325;Random;27;0.4938650306748466
326;AI;19;0.4954128440366973
327;Random;29;0.49390243902439024
328;Random;32;0.49240121580547114
329;AI;38;0.49393939393939396
330;AI;19;0.4954682779456193
331;Random;27;0.4939759036144578
332;AI;29;0.4954954954954955
333;Random;25;0.4940119760479042
334;AI;67;0.4955223880597015
335;AI;16;0.49702380952380953
336;AI;33;0.49851632047477745
337;AI;26;0.5
338;Random;14;0.49852507374631266
339;AI;50;0.5
340;AI;129;0.501466275659824
341;AI;32;0.5029239766081871
342;AI;17;0.5043731778425656
343;AI;46;0.5058139534883721
344;Random;36;0.5043478260869565
345;AI;16;0.5057803468208093
346;AI;49;0.5072046109510087
347;Random;27;0.5057471264367817
348;Random;38;0.504297994269341
349;Random;39;0.5028571428571429
350;AI;17;0.5042735042735043
351;Random;57;0.5028409090909091
352;AI;20;0.5042492917847026
353;Random;19;0.5028248587570622
354;Random;14;0.5014084507042254
355;AI;34;0.5028089887640449
356;Random;24;0.5014005602240896
357;AI;54;0.5027932960893855
358;AI;39;0.5041782729805014
359;AI;32;0.5055555555555555
360;Random;28;0.5041551246537396
361;Random;11;0.5027624309392266
362;Random;34;0.5013774104683195
363;Random;15;0.5
364;Random;90;0.4986301369863014
365;AI;14;0.5
366;AI;71;0.5013623978201635
367;Random;37;0.5
368;Random;34;0.4986449864498645
369;Random;69;0.4972972972972973
370;AI;47;0.49865229110512127
371;AI;12;0.5
372;Random;64;0.49865951742627346
373;Random;19;0.49732620320855614
374;AI;31;0.49866666666666665
375;Random;93;0.4973404255319149
376;Random;34;0.4960212201591512
377;AI;32;0.4973544973544973
378;AI;53;0.49868073878627966
379;Random;49;0.49736842105263157
380;AI;17;0.49868766404199477
381;AI;76;0.5
382;AI;27;0.5013054830287206
383;AI;60;0.5026041666666666
384;Random;74;0.5012987012987012
385;Random;37;0.5
386;Random;42;0.49870801033591733
387;AI;48;0.5
388;AI;19;0.5012853470437018
389;AI;28;0.5025641025641026
390;Random;34;0.5012787723785166
391;Random;25;0.5
392;Random;12;0.49872773536895676
393;Random;55;0.49746192893401014
394;AI;31;0.49873417721518987
395;AI;46;0.5
396;AI;89;0.5012594458438288
397;AI;32;0.5025125628140703
398;AI;23;0.5037593984962406
399;AI;14;0.505
400;AI;27;0.5062344139650873
401;AI;24;0.5074626865671642
402;Random;62;0.5062034739454094
403;AI;40;0.5074257425742574
404;AI;27;0.508641975308642
405;AI;20;0.5098522167487685
406;AI;37;0.5110565110565111
407;AI;32;0.5122549019607843
408;AI;9;0.5134474327628362
409;AI;32;0.5146341463414634
410;Random;82;0.51338199513382
411;Random;67;0.5121359223300971
412;AI;15;0.513317191283293
413;AI;34;0.5144927536231884
414;Random;30;0.5132530120481927
415;AI;18;0.5144230769230769
416;Random;38;0.513189448441247
417;Random;25;0.5119617224880383
418;Random;122;0.5107398568019093
419;Random;79;0.5095238095238095
420;AI;59;0.5106888361045131
421;AI;42;0.5118483412322274
422;Random;42;0.5106382978723404
423;AI;30;0.5117924528301887
424;Random;44;0.5105882352941177
425;Random;39;0.5093896713615024
426;Random;58;0.5081967213114754
427;Random;63;0.5070093457943925
428;AI;63;0.5081585081585082
429;Random;35;0.5069767441860465
430;Random;52;0.505800464037123
431;Random;21;0.5046296296296297
432;Random;10;0.5034642032332564
433;AI;22;0.5046082949308756
434;Random;24;0.503448275862069
435;Random;35;0.5022935779816514
436;Random;98;0.5011441647597255
437;AI;11;0.502283105022831
438;AI;47;0.5034168564920274
439;AI;32;0.5045454545454545
440;Random;62;0.5034013605442177
441;Random;25;0.502262443438914
442;Random;128;0.5011286681715575
443;Random;55;0.5
444;Random;56;0.49887640449438203
445;Random;15;0.4977578475336323
446;Random;14;0.4966442953020134
447;AI;14;0.49776785714285715
448;AI;57;0.49888641425389757
449;Random;29;0.49777777777777776
450;AI;21;0.49889135254988914
451;AI;16;0.5
452;Random;124;0.4988962472406181
453;Random;15;0.4977973568281938
454;Random;24;0.4967032967032967
455;Random;33;0.4956140350877193
456;Random;22;0.49452954048140046
457;Random;61;0.49344978165938863
458;AI;51;0.49455337690631807
459;Random;23;0.4934782608695652
460;AI;11;0.4945770065075922
461;Random;57;0.4935064935064935
462;Random;22;0.4924406047516199
463;AI;74;0.49353448275862066
464;AI;71;0.4946236559139785
465;Random;15;0.49356223175965663
466;Random;16;0.4925053533190578
467;Random;25;0.49145299145299143
468;Random;28;0.4904051172707889
469;AI;34;0.49148936170212765
470;Random;34;0.49044585987261147
471;AI;26;0.4915254237288136
472;AI;45;0.492600422832981
473;AI;106;0.4936708860759494
474;AI;77;0.49473684210526314
475;AI;26;0.4957983193277311
476;Random;22;0.4947589098532495
477;AI;132;0.49581589958158995
478;AI;99;0.4968684759916493
479;Random;27;0.49583333333333335
480;AI;13;0.4968814968814969
481;Random;59;0.495850622406639
482;Random;24;0.494824016563147
483;Random;11;0.493801652892562
484;Random;44;0.4927835051546392
485;Random;17;0.49176954732510286
486;AI;35;0.4928131416837782
487;AI;22;0.49385245901639346
488;AI;23;0.4948875255623722
